"OpenMP Region / Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4","OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","AVX_INSTS.ALL","INT_MISC.RECOVERY_CYCLES","L2_RQSTS.MISS","MISALIGN_MEM_REF.LOADS","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","IDQ_UOPS_NOT_DELIVERED.CORE","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MISALIGN_MEM_REF.STORES","RESOURCE_STALLS.SB","RS_EVENTS.EMPTY_CYCLES","UOPS_DISPATCHED_PORT.PORT_0","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","UOPS_DISPATCHED_PORT.PORT_1","UOPS_DISPATCHED_PORT.PORT_2","UOPS_DISPATCHED_PORT.PORT_3","UOPS_DISPATCHED_PORT.PORT_4","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","UOPS_DISPATCHED_PORT.PORT_5","UOPS_DISPATCHED_PORT.PORT_6","UOPS_DISPATCHED_PORT.PORT_7","UOPS_EXECUTED.CORE_CYCLES_GE_1","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC","UOPS_EXECUTED_PORT.PORT_0","UOPS_EXECUTED_PORT.PORT_1","UOPS_ISSUED.ANY","UOPS_RETIRED.ALL","UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC","UOPS_RETIRED.RETIRE_SLOTS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_STORES_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:96:727","610470400000","743503115253","711270400000","323916485874","2392871784","0","428412642618","0","6768010152","15924238860","0","340284510426","359568539352","47316070974","528615858","0","42744064116","55896083844","69960104940","202008303012","2464273926","1027830834","1431000768","140712211068","126108189162","125364188046","20400030600","921686946","919855188","490814724","498929934","111048166572","111696167544","3252004878","315864473796","216294648882","20136030204","20169902544","209052313578","68784103176","139620209430","667741001610","727405091106","114408171612","619428929142","178851386046","7387678162968","5066539599798","261962458638","106953808518","93478708386","95542666194","71153734548","89706882090","1207218108","9.77006","64.8779","4","7200","","","","0"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","298707200000","446888670332","428160000000","197592296388","1019430582","0","290904436356","0","2832004248","9184937772","0","241920362880","210744316116","24108036162","221406642","0","151836227754","61572092358","36864055296","84336126504","861025830","391211736","479001096","61968092952","57060085590","56988085482","21792032688","263510628","258015480","209406282","216612996","55056082584","46800070200","2340003510","156396234594","90984272952","21144031716","21104716566","102204153306","37488056232","63264094896","328284492426","365484548226","52896079344","304272456408","38200937658","2820734462178","2098251147372","62590277652","25191155712","12847370796","23347300398","24514335408","24089645292","9600144","4.06662","39.3236","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","169494400000","204426306639","194112000000","91584137376","864025920","0","119112178668","0","336000504","4861272918","0","104736157104","105612158418","11076016614","158404752","0","216000324","11544017316","14604021906","86028129042","1383041490","1021230636","337941876","36972055458","46968070452","46416069624","3780005670","162068040","159909594","163204896","163809828","34464051696","17244025866","1200001800","81936122904","86622259866","3792005688","3926458896","59304088956","14844022266","36144054216","173952260928","210060315090","37488056232","177636266454","10276314240","1085757257262","921037381554","26814804420","4114923444","5781046842","12456973698","10307709222","5628337680","16800252","2.6776","18.2463","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","139724800000","169786254679","162249600000","89892134838","567017010","0","110916166374","780001170","300000450","1642824642","0","91812137718","96024144036","12600018900","377411322","0","22668034002","14592021888","14484021726","47676071514","595817874","114603438","493707270","21552032328","27984041976","28092042138","14580021870","101142462","103806228","390611718","377722662","20376030564","32820049230","9036013554","59592089388","48960146880","12972019458","13200198000","42888064332","14508021762","21912032868","146688220032","167340251010","30012045018","145056217584","48141711030","1088283264840","832153248228","47011410300","49610688276","8618917104","4689140670","9052471566","37996979682","8400126","2.97122","14.8985","4","6401","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","104854400000","103190154785","98000000000","39804059706","496214886","0","56220084330","0","156000234","2295634434","0","49524074286","46740070110","6768010152","44401332","0","6840010260","10848016272","14616021924","46548069822","357610728","266407992","101142462","20532030798","25284037926","25308037962","5100007650","47720034","51903114","43201296","48602916","19200028800","9744014616","2904004356","47460071190","48072144216","5112007668","5180477706","34728052092","14364021546","20868031302","106440159660","128964193446","23904035856","107760161640","2458031940","639991919970","597720896580","12236167074","1333239996","668440104","2697080910","4441333236","3077584644","0","1.41314","9.26323","4","800","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","98726400000","69782104673","65939200000","7080010620","413412402","0","19212028818","0","396000594","1555223328","0","9084013626","13800020700","4212006318","7200216","0","12000018","4020006030","11340017010","37044055566","91802754","58201746","16506930","30480045720","20328030492","20220030330","2832004248","8103402","10200612","7800234","7500450","18828028242","10284015426","1524002286","51300076950","37410112230","2736004104","2643639654","34536051804","11076016614","31452047178","104268156402","116748175122","20280030420","99780149670","203485428","341635024902","310368465552","1184435532","57601728","175210512","514815444","3425502762","71704302","0","1.16354","6.18974","4","800","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","74691200000","84616126924","80035200000","22764034146","370211106","0","45732068598","0","84000126","1755626334","0","31776047664","27072040608","4476006714","43801314","0","36000054","5832008748","8976013464","34836052254","201606048","138604158","69629232","14472021708","18360027540","18480027720","1620002430","20708694","21601296","44401332","48902934","15228022842","11388017082","552000828","38124057186","35772107316","1452002178","1459221888","26556039834","9168013752","14568021852","79908119862","94740142110","14436021654","77676116514","10694089632","431683295046","279216418824","12060961818","9766492986","1255575330","3262297866","3462703878","6572794344","0","1.79238","7.73672","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","36579200000","66346099519","63728000000","44748067122","205206156","0","48876073314","0","168000252","1926028890","0","44028066042","44868067302","3588005382","28200846","0","132000198","2496003744","2712004068","17220025830","174605238","85802574","84935658","7824011736","10596015894","10716016074","1296001944","51921798","57303438","32400972","31801908","9588014382","5172007758","180000270","18936028404","19908059724","1512002268","1388420826","13524020286","2304003456","7944011916","38148057222","48120072180","9000013500","37416056124","5685286818","779948339838","575556863334","10319109564","3126693798","1736204166","3145294356","9140674212","2861871702","0","0.645418","5.8164","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","35001600000","67264100896","63433600000","22056033084","143404302","0","45216067824","0","240000360","1008015120","0","27924041886","27972041958","3660005490","16800504","0","16092024138","13872020808","4512006768","10212015318","37801134","13800414","24010080","5196007794","6276009414","6492009738","2556003834","11104662","12000720","16200486","10800648","3300004950","10272015408","468000702","20880031320","10386031158","2508003762","2564438466","10560015840","4092006138","5292007938","37320055980","42912064368","4980007470","37956056934","3222452862","238482715446","178632267948","1833054990","1758052740","587735262","517215516","4750942524","837350238","0","1.59188","6.22757","4","1683","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","12595200000","61542092313","59683200000","43884065826","70202106","0","53496080244","1512002268","72000108","1206018090","0","44184066276","47472071208","3180004770","198605958","0","43932065898","7944011916","996001494","3504005256","361210836","54001620","306128520","1236001854","2412003618","2484003726","1476002214","92738934","93905634","219606588","206412384","1176001764","4416006624","672001008","7332010998","4704014112","1284001926","1179617694","4524006786","948001422","1296001944","15012022518","17088025632","1944002916","12720019080","153262043034","715610146824","385452578178","159091172592","108550456416","42705462174","21778853346","7565026944","116989318938","0","0.584297","5.45026","4","800","","","","0"
