"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","445900668850","429200643800","201410302115","0","0","13200019800","13230019845","442740664110","4666639995","0","294700442050","254780382170","218730328095","0","213506405","81470122205","913527405","913527405","420512615","499959895","488955275","255107100","267516050","230006900","223763425","23520661155","2259003388500","15731693845","36627627145","22246667380","18318549540","1843055290","2.94987","37.3953","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","178216267324","168722253083","85420128130","0","0","5020007530","5020007530","178410267615","222006660","0","104660156990","95980143970","93750140625","0","173005190","78020117030","1410542315","1410542315","1060031800","333139860","336391225","163818775","170010200","160504815","169510170","5132807950","835571253355","2630907845","8622119770","11618348540","2931587945","700521015","1.00894","14.6951","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","155362233043","149450224175","88510132765","0","0","4350006525","4400006600","156300234450","745522365","0","103540155310","91090136635","93790140685","0","398011940","43050064575","623518705","623518705","127503825","492206640","503461365","102793155","100756045","398511955","392773565","40537932130","728301092450","6990669415","45041159345","6564196920","35455563635","1126033780","1.68636","12.863","4","6401","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:367:375","67536101304","64728097092","50400075600","0","0","2100003150","2090003135","66750100125","5932677975","0","54300081450","51200076800","51720077580","0","79502385","7310010965","208006240","208006240","82002460","115798615","114798195","43518270","37252235","77502325","77254635","15250414970","604060906090","4918295080","22048256380","5275158250","17060511800","757522725","0.472491","5.62383","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:516:524","67224100836","64292096438","50490075735","0","0","1990002985","2060003090","66630099945","4358630755","0","54280081420","51350077025","51340077010","0","103003090","7780011670","238507155","238507155","91002730","154564890","152564050","46769635","48752925","107503225","107006420","18293597550","694141041210","4020991245","22773560880","6899206970","18023040675","134504035","0.439391","5.57968","4","2400","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","60514090771","59584089376","44640066960","0","0","1650002475","1690002535","59660089490","152504575","0","53630080445","45160067740","48280072420","0","223006690","2850004275","370011100","370011100","54501635","311630830","310380305","91788535","98255895","216506495","209762585","100281766545","429540644310","47597105655","144964359470","21644649320","128800863910","9437783125","0.420295","5.18654","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:662:670","66650099975","63740095610","49840074760","0","0","1970002955","1950002925","66330099495","4558136740","0","53060079590","50640075960","50320075480","0","104503135","7010010515","304009120","304009120","105003150","196082320","187078540","77032340","81754905","114503435","115756945","19385913085","494600741900","9224803455","26895041175","6490694715","25035751050","1056531695","0.4406","5.5356","4","2400","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","90010135015","85418128127","39510059265","0","0","2750004125","2710004065","90390135585","141504245","0","48940073410","44860067290","41470062205","0","60001800","45390068085","382511475","382511475","260007800","97791055","104793995","58524570","50503030","45001350","48002880","2876922605","504220756330","757045420","3357659625","4635139050","1707051210","487014610","0.582838","7.46913","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","65240097860","62986094479","45150067725","0","0","2210003315","2170003255","65270097905","4887146610","0","48020072030","45090067635","45770068655","0","29500885","17140025710","166504995","166504995","85502565","89787695","84285385","58524570","59253555","36501095","32251935","2834420055","638010957015","1605096300","3844614060","1893056790","2304569135","128003840","0.400213","5.44868","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:100:110","54590081885","53034079551","40910061365","0","0","1690002535","1720002580","53960080940","2676080280","0","44880067320","42170063255","41370062055","0","47001410","8070012105","185505565","185505565","81502445","110546410","106544730","66277825","68254095","47501425","50503030","5232063905","529160793740","6425635515","9150591635","5130153900","7790733715","1116033480","0.306008","4.6157","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:120:130","54732082098","53312079968","41350062025","0","0","1730002595","1740002610","54630081945","2775083250","0","43920065880","41250061875","41190061785","0","47501425","7790011685","192505775","192505775","87002610","111796935","110796515","62276145","63503810","42001260","48502910","5183560995","554680832020","5497579835","7720241140","3581107430","6515195450","453513605","0.311826","4.62761","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:139:148","48072072108","47008070512","35170052755","0","0","1540002310","1500002250","47900071850","2211066330","0","39770059655","35880053820","35580053370","0","47001410","5780008670","170005100","170005100","71002130","86286225","97040740","54022680","49502970","39001170","39752385","4201502075","440690661035","2699661970","12967694145","5699170970","8264747935","1845555365","0.289958","4.07704","4","1200","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","52682079023","49888074832","23370035055","0","0","1530002295","1530002295","52230078345","725521765","0","39080058620","27650041475","26060039090","0","12000360","4030006045","45501365","45501365","19000570","32013440","28511970","10754515","10250615","8500255","14500870","1184571070","164900247350","787297235","4211017885","1021030630","783523505","3500105","0.395192","4.37864","4","1683","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:158:167","47222070833","46116069174","33700050550","0","0","1490002235","1480002220","47970071955","2697080910","0","38170057255","34660051990","33950050925","0","30500915","5560008340","84502535","84502535","38501155","54772995","54272785","22509450","24251455","29500885","32001920","5545332700","471080706620","1164819885","5745912270","3276598295","6366190980","686020580","0.287946","4.01078","4","1200","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","66512099768","62686094029","18250027375","0","0","1980002970","1940002910","66720100080","594017820","0","36200054300","28640042960","21820032730","0","41501245","28660042990","211006330","211006330","136004080","79033180","73280765","31763335","26251575","48001440","46752805","7342190505","266940400410","2495649730","7758257100","1379541385","5232156960","2171065130","0.543354","5.47597","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:194:203","40068060102","39230058845","27520041280","0","0","1290001935","1280001920","40530060795","1540546215","0","34130051195","29250043875","28470042705","0","35001050","3230004845","148004440","148004440","62001860","84535490","85786015","49020580","48752925","28500855","32751965","8271746275","259810389715","8911534660","13819051565","10120303600","6487194610","812524375","0.203086","3.39858","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:176:185","40006060009","39026058539","24760037140","0","0","1300001950","1230001845","40370060555","2000060000","0","33770050655","26960040440","26050039075","0","20500615","3290004935","73502205","73502205","31000930","43268165","46019320","16006720","15750945","30000900","24501470","5757595435","352650528975","2315388915","9191858960","4341130230","4432132960","394011820","0.240637","3.38561","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:307:354","94400141600","89656134484","4550006825","0","0","2900004350","2810004215","95530143295","162504875","0","24710037065","6230009345","15320022980","0","3500105","33590050385","64501935","64501935","40501215","15506510","13005460","8503570","8250495","3500105","4750285","494279655","294100441150","177760665","186828435","313509405","24000720","0","0.803512","7.68814","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:613:647","84608126912","80512120768","12190018285","0","0","2720004080","2730004095","85190127785","238507155","0","22540033810","13430020145","15540023310","0","14000420","30140045210","93002790","93002790","67502025","33013860","36265225","23509870","21001260","19000570","15750945","738794325","256870385305","166009960","1171992030","2518075540","272508175","0","0.86095","6.95045","4","2400","","","","0"
"revert_kernel_module_mp_revert_kernel_$omp$parallel:4@unknown:41:63","24538036807","23636035454","18040027060","0","0","820001230","820001230","25620038430","60501815","0","21050031575","17070025605","18450027675","0","77002310","1650002475","137504125","137504125","27000810","121801135","118049560","38516170","37502250","90502715","79004740","35095105580","179650269475","13826579545","56177834785","13619908585","44869846055","3294598835","0.282275","2.16839","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:467:502","81676122514","77690116535","9550014325","0","0","2450003675","2400003600","82580123870","193005790","0","19980029970","10810016215","13100019650","0","7500225","30920046380","48501455","48501455","28500855","19758295","18007560","8503570","8250495","10000300","5250315","262765765","265740398610","83254995","338642170","194505835","228006840","0","0.766661","6.68549","4","2400","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","62548093822","59254088881","7280010920","0","0","1940002910","1900002850","62350093525","28500855","0","16050024075","9490014235","13030019545","0","8000240","35010052515","98002940","98002940","68502055","19508190","12505250","10004200","9750585","8500255","10000600","152759165","318520477780","287017220","121050820","794023820","58501755","14000420","0.507613","5.13319","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:589:598","17486026229","16842025263","13480020220","0","0","440000660","500000750","17490026235","808524255","0","14190021285","13470020205","13640020460","0","62501875","1400002100","158004740","158004740","37501125","114297985","115298405","60525410","63753825","51501545","56753405","13625067455","134070201105","10812648720","21618575990","5052151560","18699060955","2591077730","0.133619","1.47421","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:444:452","16950025425","16322024483","13360020040","0","0","440000660","510000765","17030025545","640519215","0","13930020895","13180019770","13300019950","0","50501515","1630002445","121503645","121503645","23500705","88287065","83284965","36265225","31251875","49501485","51503090","12572754320","148570222855","3553213180","15556030790","1681550445","10851325530","967529025","0.113828","1.42547","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:282:291","16946025419","16280024420","13170019755","0","0","520000780","580000870","17130025695","2069562085","0","13700020550","12930019395","13300019950","0","12000360","1380002070","49001470","49001470","14500435","33764175","35264805","14255985","13500810","16000480","16250975","3765975945","124030186045","1258825525","5473047715","1321539645","1895056850","40501215","0.122227","1.42134","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:562:577","19812029718","19170028755","10260015390","0","0","620000930","500000750","20230030345","519515585","0","11060016590","10170015255","10390015585","0","5000150","11960017940","22000660","22000660","9000270","13005460","12755355","8753675","6750405","9000270","4750285","36002160","144480216720","208012480","1122971450","242507275","380011400","0","0.14603","1.66004","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:252:268","19376029064","18716028074","9940014910","0","0","600000900","570000855","19930029895","505515165","0","10890016335","10180015270","10360015540","0","3000090","11660017490","22500675","22500675","14000420","13505670","14756195","6002520","8250495","4500135","3500210","27751665","217650326475","67504050","219842295","109503285","31000930","3500105","0.133289","1.61981","4","800","","","","0"
