"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","452620678930","437092655638","218230327345","0","0","13850020775","13870020805","454270681405","4789143670","0","300190450285","263870395805","230280345420","0","244507335","80630120945","922027660","922027660","408012240","511214620","508213360","262360145","264515870","245007350","234764085","27546152670","2289033433545","18820629170","37932424930","36114083390","24513235375","1988559655","2.69263","37.6326","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","181870272805","172374258561","88200132300","0","0","5270007905","5280007920","181180271770","232006960","0","108670163005","100420150630","97980146970","0","177005310","77700116550","1424542735","1424542735","1113033390","345144900","344644690","160817515","171510290","166004980","166760005","5147558835","963351445025","2715412915","8356008050","20203106075","7216216480","486514595","0.946264","14.833","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","159706239559","154160231240","93540140310","0","0","4970007455","4970007455","160770241155","703021090","0","107770161655","95090142635","97930146895","0","426012780","42770064155","684520535","684520535","116003480","548730370","549480685","115548510","105756345","405012150","417025020","39023591275","836371254555","9338560280","58122401160","6405192150","47335920035","853025590","1.55737","13.1707","4","6401","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","60750091125","59972089958","45410068115","0","0","1710002565","1740002610","59310088965","152504575","0","54820082230","46700070050","49180073770","0","206006180","2940004410","359510785","359510785","52501575","312881355","311130620","102292945","103256195","218006540","219263155","111869211750","435470653205","43620367065","160534646245","24667239995","111378841265","14439933185","0.365332","5.15985","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:367:375","66782100173","63924095886","50840076260","0","0","2090003135","1970002955","66200099300","5819174570","0","54650081975","52040078060","52320078480","0","90002700","6960010440","213006390","213006390","101503045","130054600","124552290","42017640","44502670","100503015","81754905","14733883980","713641070460","4010490615","18252412795","4997649925","18843565290","98002940","0.344108","5.49405","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:516:524","66828100242","63882095823","50620075930","0","0","1950002925","1890002835","65880098820","4254127620","0","54050081075","51720077580","51700077550","0","103003090","7610011415","255507665","255507665","93502805","156815835","157065940","52522050","50253015","122003660","120007200","19823939365","603340905010","3981488875","20865509835","4973149190","19014570420","401012030","0.345122","5.48901","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:662:670","66654099981","63964095946","50120075180","0","0","1800002700","1800002700","65960098940","4469634085","0","53690080535","51110076665","51130076695","0","124003720","7760011640","321509645","321509645","112003360","204835995","205586310","71029820","72254335","120503615","112756765","20833499935","627970941955","7652209105","31649787330","7406722195","19766092965","591017730","0.373677","5.49316","4","2400","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","91794137691","87546131319","40850061275","0","0","2820004230","2840004260","92410138615","124503735","0","50720076080","46870070305","43710065565","0","56501695","45150067725","389011670","389011670","274008220","104293785","108795675","52271945","51503090","58001740","49502970","2638408295","531250796875","1302328135","2650112580","4306629195","1810554315","24500735","0.567536","7.54323","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","66296099444","64142096213","45700068550","0","0","2010003015","2010003015","65400098100","4674640235","0","49520074280","47090070635","47110070665","0","26000780","16590024885","182005460","182005460","86502595","88787275","88036960","59524990","58503510","34001020","32501950","2640908445","588110882165","2644158640","4751744895","3947618425","1574047220","117503525","0.387351","5.49253","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:120:130","55382083073","54236081354","41140061710","0","0","1630002445","1640002460","54940082410","2756582695","0","45730068595","42910064365","42570063855","0","51001530","8360012540","193005790","193005790","89002670","103793575","104293785","60275305","64503870","49501485","49252955","6839160325","474690712035","3328949725","11099409795","4201626045","3424102720","675020250","0.311801","4.67661","4","1200","","","","0"
