"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","297614446421","287080430620","139530209295","0","0","8560012840","8630012945","293290439935","3080592415","0","201310301965","176590264885","152290228435","0","152004560","53780080670","588017640","588017640","272008160","315632510","317633350","161567830","170010200","152504575","164009840","17945826685","1453412180115","8770276185","29610931370","15279458370","19008070225","1020030600","2.84568","37.9591","4","2400","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","104800157200","100994151491","60530090795","0","0","3280004920","3080004620","104880157320","517515525","0","71490107235","62510093765","64480096720","0","277508325","26960040440","408012240","408012240","73002190","329638390","336391225","51521630","58253495","274508235","264765885","26338830235","512980769470","5079304740","32371090150","5814174420","27110313285","810524315","1.57323","13.1807","4","6401","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","118028177042","111890167835","56210084315","0","0","3700005550","3590005385","116920175380","140504215","0","70420105630","64380096570","63260094890","0","115503465","51430077145","929027870","929027870","692520775","229846495","225844815","102793155","111006660","113503405","112256735","4071494275","633100949650","2014620870","4759248045","7908237240","3528605855","222506675","1.01237","14.7501","4","1600","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:662:670","44144066216","42228063342","34700052050","0","0","1340002010","1410002115","45630068445","3133594005","0","35830053745","33710050565","33850050775","0","76002280","4940007410","202506075","202506075","73502205","116548930","115048300","47269845","45002700","70002100","73504410","15316168915","559360839040","5021801290","19663004995","4500135000","14316929495","265507965","0.391622","5.57552","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:367:375","44084066126","42276063414","32490048735","0","0","1510002265","1430002145","42860064290","3669110070","0","34920052380","32800049200","32880049320","0","54001620","4990007485","130503915","130503915","58001740","82284545","86286225","25510710","27501650","60001800","54753285","9762585720","442150663225","2815418915","12692828750","5689670685","10384311520","1306539195","0.443219","5.58649","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:516:524","43816065724","41916062874","33250049875","0","0","1330001995","1280001920","44400066600","2841585245","0","34710052065","32740049110","33180049770","0","72002160","4900007350","158004740","158004740","62001860","97040740","99291685","34264385","34502070","69502085","70004200","14299107895","362980544470","3225693530","15443233435","5325659765","13498904955","1321039630","0.38702","5.54173","4","2400","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","39522059283","38960058440","29900044850","0","0","1400002100","1380002070","39910059865","103003090","0","34300051450","28920043380","31060046590","0","148004440","1790002685","247507425","247507425","37001110","208337465","208087360","58024360","66253975","137504125","139508370","72574604215","148320222480","28018180990","91354852930","16383991505","81291438670","3192595775","0.397651","5.16071","4","800","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","59064088596","56166084249","26110039165","0","0","1660002490","1710002565","60360090540","102003060","0","33720050580","31150046725","28640042960","0","33501005","28810043215","245507365","245507365","174005220","65277405","68028560","38015960","34502070","32000960","28001680","989559370","360110540165","628037680","1573160450","1843055290","352010560","392511775","0.5454","7.42376","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","42976064464","41438062157","29170043755","0","0","1130001695","1140001710","41960062940","3099592985","0","31890047835","30180045270","30340045510","0","22000660","11290016935","117503525","117503525","51501545","58024360","57524150","36015120","36002160","17000510","19751185","2137628250","441520662280","1265325915","2017346930","1938058140","1557046710","201506045","0.409531","5.45127","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:100:110","38704058056","37914056871","29290043935","0","0","1210001815","1220001830","38100057150","1789553685","0","31720047580","29850044775","29850044775","0","33501005","5660008490","124003720","124003720","55001650","70529610","72030240","38766275","31751905","33000990","32251935","4910294600","351880527820","1362331735","7153503210","3132593975","3343600305","36001080","0.407487","5.02417","4","1200","","","","0"
