"OpenMP Region / Function / Call Stack","UOPS_RETIRED.ALL","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","UOPS_RETIRED.RETIRE_SLOTS","OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","AVX_INSTS.ALL","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","L2_RQSTS.MISS","MISALIGN_MEM_REF.LOADS","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MISALIGN_MEM_REF.STORES","RESOURCE_STALLS.SB","RS_EVENTS.EMPTY_CYCLES","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:96:727","769801154700","787081180620","756096000000","357700536550","647190970785","0","456220684330","0","94286406845","17157257355","0","373190559785","393950590925","84000019925","590517715","0","42530063795","51610077415","8090699272025","209040313560","2667580025","1120033600","1500630000","187014012910","228515685545","21360032040","21510322650","937393540","941556490","555016650","559283555","5188567782840","282885486310","98964968860","97670859900","8.01781","62.6941","4","7200","","","","0"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","379490569235","476902715353","458227200000","228420342630","317570476355","0","313690470535","0","15578434650","10027150405","0","274740412110","242320363480","28090842700","263007890","0","165040247560","56560084840","2952508857500","87280130920","974029220","452013560","527971655","41669994050","93400280200","22140033210","22549338235","268112560","276016560","260507815","253765225","2498263747390","74405232090","21688150625","27798917835","3.20344","38.2501","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","202220303330","193060289590","182649600000","92190138285","163880245820","0","113660170490","0","2245384715","5393080895","0","103320154980","100310150465","15622468660","198005940","0","110000165","7840011760","1024518073545","82320123480","1527545825","1178035340","354148680","9260637835","88190264570","3780005670","3786056790","173822975","164259855","177505325","185511130","997561496340","21004130105","8304249120","5034552055","1.30044","15.3171","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","166500249750","173198259797","166592000000","97260145890","141720212580","0","116220174330","590000885","7733213965","1734026010","20000030","100280150420","104170156255","3234597035","457013710","0","23930035895","11410017115","1067703203100","46460069690","738522155","129503885","587746750","49920457790","48340145020","14410021615","14036210540","128303865","113756825","469514085","457277435","844191266285","61984859490","50854025575","41737754115","2.07017","13.7872","4","6401","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","124630186945","95410143115","90736000000","43460065190","101050151575","0","53890080835","0","2251885105","2629039435","0","50010075015","45150067725","3740612215","54501635","0","4500006750","6380009570","549561648680","46330069495","383511505","276008280","108045360","3978670340","49065147195","5410008115","5344080160","50521210","56253375","60001800","56253375","613410920115","8279248370","1060031800","2299887985","0.593933","7.58519","4","800","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","117900176850","69346104019","65516800000","7810011715","99990149985","0","17690026535","0","508530510","1617024255","0","10060015090","14570021855","1393541805","13000390","0","10000015","2450003675","345666036995","37770056655","105503165","92502775","23509870","576492025","38210114630","2550003825","2706040590","8753675","11000660","11500345","11500690","346800520200","1603548105","229506885","210012600","0.608825","5.45866","4","800","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","76340114510","71762107643","67568000000","21130031695","62520093780","0","39580059370","0","2415144900","1888028320","0","31510047265","23850035775","1860555815","63001890","0","30000045","2590003885","363916091745","29640044460","248007440","158004740","85035700","9645799535","30715092145","1160001740","1132016980","33764175","36252175","52001560","55003300","255950383925","10936328080","7631228930","7110926630","0.562571","5.62749","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","49130073695","69522104283","66979200000","48080072120","37870056805","0","50950076425","0","2297887865","2040030600","0","48400072600","47760071640","3579607385","44501335","0","160000240","2140003210","884227652675","18010027015","169505085","84502535","100542210","5904478840","21475064425","1510002265","1445021675","58524570","56503390","38001140","44002640","762261143390","5011650345","3253097590","3071934305","0.478983","5.5646","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","27180040770","57978086967","54854400000","28830043245","23210034815","0","43110064665","0","734294055","1082016230","0","33270049905","31620047430","945528365","18000540","0","12210018315","8240012360","300445901335","4850007275","51001530","18500555","30262705","5029611550","4990014970","2290003435","2395035925","12755355","11500690","16500495","17751065","96070144105","5910677315","3049591485","2914424855","0.515776","4.6138","4","1683","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","15350023025","65278097917","63670400000","48540072810","12900019350","0","58170087255","1930002895","53356201180","1329019935","0","49030073545","52160078240","22176665280","212006360","0","47150070725","7830011745","772787318355","3340005010","384511535","55001650","332139440","163975590835","4350013050","1200001800","1215018225","106044520","105256315","219006570","220513230","322370483555","204432132780","113006390090","113530811440","0.480558","5.29743","4","800","","","","0"
