"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","483462725193","463166694749","250260375390","0","0","14720022080","14670022005","484220726330","4971649145","0","327060490590","292730439095","261720392580","0","335010050","84620126930","909027270","909027270","388011640","519718190","512215040","192580850","193011580","318009540","333269995","31786407070","2280763421140","14924895440","38791535605","26285788550","30185405535","438013140","4.20892","42.8356","4","2400","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","179698269547","172352258528","107510161265","0","0","5440008160","5410008115","182300273450","715521465","0","124680187020","108910163365","112890169335","0","494514835","43820065730","645019350","645019350","112003360","564987195","569238980","67528350","68754125","503515105","480028800","45790497265","806411209615","7739714355","60311320120","12526875795","38570657085","1514545435","2.29452","15.6004","4","6401","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","178816268224","169588254382","85480128220","0","0","5090007635","5140007710","178680268020","199005970","0","103820155730","94030141045","91950137925","0","166004980","77370116055","1383541505","1383541505","1016030480","322885555","321635030","149312685","145258715","182505475","171010260","5077054605","930111395165","3089935385","9595528430","16032980975","4738142140","1062031860","1.38065","15.6036","4","1600","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","59820089730","58544087816","44100066150","0","0","1810002715","1860002790","59240088860","138004140","0","54130081195","45790068685","49720074580","0","217506525","3330004995","358010740","358010740","58001740","322885555","321134820","96040320","90005400","215006450","217263035","115105155895","283670425505","39227853530","163202016070","21951158515","116714001315","8547256410","0.525453","5.35516","4","800","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","88532132798","84134126201","39810059715","0","0","2510003765","2490003735","90440135660","137004110","0","48780073170","45150067725","42100063150","0","56001680","42660063990","361010830","361010830","272008160","102042840","107545150","47019740","47502850","48001440","49502970","2446396775","471920707880","807548450","3906139890","5790173700","2759582785","21500645","0.647293","7.75471","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","64928097392","62426093639","43690065535","0","0","2090003135","2070003105","64860097290","4503635105","0","48510072765","45080067620","45920068880","0","31000930","16640024960","158004740","158004740","84502535","86036120","83785175","49770895","50253015","29000870","31501890","3133437995","599940899910","3023431395","3443445640","2865085950","2542076260","334510035","0.582971","5.75775","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","54358081537","51362077043","27810041715","0","0","1860002790","1840002760","53950080925","837025110","0","39830059745","31470047205","29800044700","0","24000720","4290006435","49001470","49001470","17000510","26511130","30512810","6502730","8500510","22000660","19751185","3632967965","157910236865","890803445","3386421700","201506045","5862175860","3500105","0.541273","4.7453","4","1683","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","65690098535","61756092634","19860029790","0","0","1960002940","1920002880","64490096735","549516485","0","37250055875","30330045495","23030034545","0","52501575","26640039960","215006450","215006450","152004560","84285385","85285805","27761655","24001440","45001350","49002940","6493139565","240280360420","1555343315","8079141815","2226566795","10138304140","1327039810","0.472254","5.57871","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:867:901","93384140076","87948131922","22300033450","0","0","2840004260","2850004275","90870136305","343010290","0","33260049890","26040039060","26520039780","0","27000810","29330043995","98502955","98502955","53501605","38015960","38766275","15006300","9000540","31500945","28501710","999309955","332460498690","139508370","921386820","399011970","383511505","3000090","0.931933","7.97503","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:435:482","96594144891","90812136218","9450014175","0","0","2700004050","2730004095","96590144885","130503915","0","28500042750","11650017475","19250028875","0","19000570","32700049050","113003390","113003390","72002160","29512390","27011340","8753675","11500690","15000450","14750885","253265195","307860461790","94755685","204335785","1785553565","156504695","0","0.896379","8.23957","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:655:690","83838125757","78946118419","13850020775","0","0","2410003615","2400003600","82830124245","186005580","0","24960037440","16340024510","18720028080","0","22500675","30410045615","51501545","51501545","35501065","27261445","26761235","6252625","7500450","20000600","16000960","679040740","232770349155","246514790","441185220","265507965","163504905","6500195","0.797598","7.15994","4","2400","","","","0"
"revert_kernel_module_mp_revert_kernel_$omp$parallel:4@unknown:41:63","24784037176","23862035793","17940026910","0","0","760001140","740001110","24710037065","63001890","0","21670032505","17790026685","19050028575","0","78002340","1520002280","130503915","130503915","20500615","112547250","112797355","40016800","42252535","77502325","84005040","39195601595","116260174390","19685931085","55518808110","12541376230","35657069680","595517865","0.263312","2.23207","4","800","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","67000100500","63092094638","10810016215","0","0","1890002835","1980002970","67390101085","29500885","0","19620029430","13110019665","16320024480","0","14500435","35950053925","113003390","113003390","69002070","24760395","24010080","7002940","9750585","18500555","19751185","511280675","332290498435","105756345","279617390","770023100","334510035","10500315","0.599369","5.73291","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:710:726","15382023073","14340021510","2230003345","0","0","420000630","450000675","15130022695","3000090","0","7360011040","2250003375","3960005940","0","46001380","5520008280","217006510","217006510","82502475","127053340","130304705","81784335","85005100","48501455","48002880","5839850370","55290082935","6581144845","10723001770","5983679505","5538666155","2877086310","0.947691","1.27527","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:500:516","15576023364","14818022227","2490003735","0","0","460000690","570000855","15890023835","1000030","0","7040010560","2470003705","4000006000","0","48001440","5570008355","207006210","207006210","78502355","139058380","135807015","87036540","82004920","51501545","48002880","7468948110","64170096255","8770026170","16295591275","7721731645","6171685145","2306569195","0.967519","1.29987","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:921:937","15064022596","14184021276","2410003615","0","0","360000540","380000570","14460021690","1000030","0","6710010065","2270003405","4300006450","0","37501125","5470008205","206006180","206006180","70502115","128804075","127053340","88537170","90255415","39001170","42502550","4771786290","43510065265","8504010210","14016884620","4757142710","5149154470","3858615755","0.934629","1.25751","4","2400","","","","0"
"[Serial - outside any region]","8684013026","8444012666","1490002235","0","0","310000465","180000270","8050012075","23000690","0","3790005685","1230001845","2280003420","0","4500135","2650003975","13000390","13000390","8500255","11004620","11254725","4751995","4250255","5000150","3750225","557533450","26950040425","163009780","1707716940","316509495","35501065","0","0","1.12703","","","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:137:161","7356011034","7026010539","970001455","0","0","200000300","210000315","7430011145","33000990","0","3640005460","1190001785","2040003060","0","8500255","2620003930","21000630","21000630","3000090","13755775","16506930","7753255","7250435","9000270","7500450","409024540","49710074565","257765465","792832850","108003240","1467544025","4000120","0.453191","0.62938","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:106:127","7744011616","7264010896","970001455","0","0","130000195","120000180","7680011520","29000870","0","3550005325","1240001860","2230003345","0","9000270","2780004170","22000660","22000660","3500105","16506930","16256825","7753255","7500450","10000300","9000540","743544610","51090076635","269516170","1114968090","576017280","425012750","14500435","0.475007","0.659219","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:170:196","6540009810","6170009255","910001365","0","0","130000195","170000255","6060009090","29500885","0","3000004500","940001410","1690002535","0","4000120","2440003660","16000480","16000480","6000180","12005040","11754935","4501890","5000300","6000180","5750345","478528710","20000030000","395023700","704795890","774523235","679520385","641019230","0.403053","0.559169","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:206:230","6128009192","6010009015","820001230","0","0","180000270","180000270","6630009945","38501155","0","2810004215","960001440","1590002385","0","6000180","2090003135","15000450","15000450","1000030","13005460","12505250","5002100","3750225","6000180","5250315","550283015","17090025635","501780105","631515125","34501035","1097032910","3500105","0.381827","0.526492","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:269:288","5254007881","5062007593","690001035","0","0","170000255","170000255","5460008190","27500825","0","2420003630","790001185","1220001830","0","3500105","2020003030","12000360","12000360","2500075","7253045","8503570","2501050","2750165","4000120","4750285","345770745","22070033105","248014880","1026681025","103003090","164004920","7500225","0.328033","0.455818","4","1200","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:239:260","5088007632","4902007353","520000780","0","0","180000270","130000195","5180007770","38501155","0","2100003150","680001020","1050001575","0","2500075","2220003330","6000180","6000180","2500075","9253885","7002940","4001680","2250135","3000090","4750285","540532430","22890034335","258265495","560235200","183505505","899526985","30000900","0.313265","0.432391","4","1200","","","","0"
"field_summary_kernel_module_mp_field_summary_kernel_$omp$parallel:4@unknown:55:79","5248007872","4956007434","1600002400","0","0","90000135","90000135","5410008115","1500045","0","1950002925","1740002610","1770002655","0","4500135","2840004260","68502055","68502055","56001680","13255565","12505250","7503150","8000480","6000180","4500270","31251875","26190039285","67004020","177574550","434513035","97002910","12000360","0.0368983","0.4496","4","82","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:791:819","2494003741","2338003507","210000315","0","0","60000090","60000090","2540003810","4500135","0","960001440","160000240","470000705","0","0","1030001545","9000270","9000270","4500135","3001260","2751155","1250525","2000120","1000030","500030","5250315","16130024195","28001680","21759135","71002130","0","6500195","0.150407","0.205935","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:402:419","2064003096","2032003048","240000360","0","0","70000105","40000060","2240003360","18000540","0","880001320","250000375","450000675","0","1500045","800001200","4500135","4500135","1000030","5002100","5752415","3001260","1750105","1500045","3000180","491279475","16800025200","224513470","557233940","79002370","110503315","0","0.133886","0.180744","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:580:606","2532003798","2362003543","220000330","0","0","110000165","110000165","2700004050","3500105","0","860001290","210000315","540000810","0","1500045","1060001590","4500135","4500135","1500045","2000840","2501050","1750735","1500090","500015","750045","7750465","8410012615","19251155","60525410","10500315","10000300","0","0.161811","0.217619","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:357:384","2532003798","2290003435","190000285","0","0","40000060","90000135","2360003540","1500045","0","850001275","210000315","440000660","0","0","1080001620","3500105","3500105","2500075","2250945","2250945","1250525","1000060","500015","750045","4750285","7930011895","24501470","17257245","44001320","0","0","0.157796","0.212189","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:315:338","2016003024","2016003024","140000210","0","0","60000090","40000060","1830002745","5000150","0","820001230","140000210","430000645","0","500015","870001305","3500105","3500105","0","1000420","1750735","0","750045","0","500030","11250675","9690014535","6500390","12755355","0","3500105","0","0.131287","0.177268","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:835:852","1432002148","1458002187","150000225","0","0","20000030","10000015","1440002160","10000300","0","780001170","180000270","330000495","0","2000060","650000975","6000180","6000180","2000060","4001680","3251365","2000840","2250135","0","750045","119507170","7240010860","349520970","345895215","61001830","264507935","0","0.0967046","0.130709","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:540:564","2044003066","1910002865","110000165","0","0","80000120","100000150","1830002745","9000270","0","750001125","190000285","400000600","0","1500045","1030001545","2500075","2500075","500015","1500630","1750735","1000420","0","0","500030","3500210","7350011025","0","13755775","4000120","13000390","0","0.128528","0.174102","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:623:640","1898002847","1844002766","160000240","0","0","50000075","30000045","2080003120","9500285","0","740001110","180000270","510000765","0","3500105","810001215","4000120","4000120","500015","4001680","3751575","2000840","2000120","2500075","1750105","328519710","7090010635","157759465","411922935","3500105","162504875","101003030","0.124322","0.167572","4","800","","","","0"
