"Source Line","Source","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS"
"1","!Crown Copyright 2012 AWE.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","! This file is part of CloverLeaf.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","! CloverLeaf is free software: you can redistribute it and/or modify it under ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","! the terms of the GNU General Public License as published by the ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","! Free Software Foundation, either version 3 of the License, or (at your option) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","! any later version.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","! CloverLeaf is distributed in the hope that it will be useful, but ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","! WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","! FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","! details.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","! You should have received a copy of the GNU General Public License along with ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","! CloverLeaf. If not, see http://www.gnu.org/licenses/.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","!>  @brief Fortran momentum advection kernel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","!>  @author Wayne Gaudin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","!>  @details Performs a second order advective remap on the vertex momentum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","!>  using van-Leer limiting and directional splitting.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","!>  Note that although pre_vol is only set and not used in the update, please","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","!>  leave it in the method.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","MODULE advec_mom_kernel_mod","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","USE OMP_LIB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","CONTAINS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","SUBROUTINE advec_mom_kernel(flop,                           &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","                            mem,                            &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","                            x_min,x_max,y_min,y_max,z_min,z_max, &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","                            vel1,                                &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","                            mass_flux_x,                         &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","                            vol_flux_x,                          &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","                            mass_flux_y,                         &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","                            vol_flux_y,                          &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","                            mass_flux_z,                         &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","                            vol_flux_z,                          &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","                            volume,                              &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","                            density1,                            &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","                            node_flux,                           &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","                            node_mass_post,                      &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","                            node_mass_pre,                       &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","                            advec_vel,                           &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","                            mom_flux,                            &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","                            pre_vol,                             &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","                            post_vol,                            &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","                            celldx,                              &","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
