"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","537764806646","515712773568","243730365595","0","0","16270024405","16280024420","537580806370","5076652295","0","358440537660","302380453570","262210393315","0","233006990","99240148860","984529535","984529535","442013260","530972915","540476905","272364345","269766185","266007980","252765165","24894243565","2430363645540","15580434770","42302259490","20955628650","21829654870","2486074580","5.26671","43.7221","4","2400","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","205200307800","196512294768","117700176550","0","0","6190009285","6120009180","202900304350","772523175","0","144420216630","123400185100","128350192525","0","446013380","50520075780","660519815","660519815","141504245","580493705","570739610","108045360","122757365","439013170","446026760","45894253490","873911310865","10015100870","56529232310","11392341760","53424102675","2116563495","2.65522","16.3287","4","6401","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","216452324678","205722308583","108180162270","0","0","6390009585","6390009585","220610330915","220506615","0","129360194040","115830173745","115050172575","0","201006030","88120132180","1556046680","1556046680","1162034860","377408445","381160020","188579170","178760725","188005640","184261055","6741654475","1000701501050","2706662390","9989443805","17313519390","6276688295","713521405","1.97496","17.4485","4","1600","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","72656108984","70770106155","51610077415","0","0","1930002895","1960002940","71960107940","169005070","0","63640095460","51970077955","56210084315","0","218506555","4500006750","385011550","385011550","61501845","329138180","327887655","107044940","102506150","220006600","223013380","124406463940","390680586020","43976138410","164811691850","33214996420","126613798300","10980829415","0.699319","5.96421","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","80952121428","77950116925","54310081465","0","0","2300003450","2380003570","79580119370","5001150030","0","61150091725","56820085230","57890086835","0","42501275","18910028365","174005220","174005220","98002940","99291685","101042420","63026460","54253255","34001020","40252415","2992179520","771621157430","1875612530","4294302850","2606578195","3890616715","210006300","0.734016","6.54191","4","800","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","107062160593","101900152850","46560069840","0","0","3190004785","3130004695","106390159585","146504395","0","59380089070","53240079860","49490074235","0","60001800","50330075495","401512045","401512045","290508715","112047040","106544730","52271945","55753345","57001710","54753285","4139748370","557830836745","1536092160","4992846115","3077092310","1326039780","111003330","1.02174","8.67884","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","65586098379","62042093063","30410045615","0","0","2140003210","2030003045","65900098850","880026400","0","49390074085","37070055605","33480050220","0","14500435","5990008985","37001110","37001110","22500675","30262705","28762075","7253045","10750645","21500645","18251095","3691471475","145790218685","1443086580","4605433470","1180535415","5584167520","0","0.686397","5.26156","4","1683","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","80536120804","76144114216","26410039615","0","0","2350003525","2370003555","78710118065","616018480","0","46820070230","37790056685","30780046170","0","54001620","32020048030","248507455","248507455","160504815","89037380","83785175","30262705","32001920","59501785","52753165","7777966650","283370425055","1463837825","7624951135","4246627395","7577727325","780523415","0.774549","6.37346","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:435:482","108150162225","101612152418","8600012900","0","0","3310004965","3260004890","109420164130","178505355","0","32730049095","11810017715","20810031215","0","11000330","36300054450","98002940","98002940","73002190","20508610","21258925","10254305","12250735","11000330","11000660","81754905","328480492720","353021180","390914115","998029940","349510485","7000210","1.10823","8.44316","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:867:901","96052144078","90328135492","15630023445","0","0","3020004530","3040004560","94960142440","251007530","0","29700044550","18580027870","20960031440","0","13000390","32440048660","99502985","99502985","60501815","30262705","32513650","19258085","16751005","16000480","13500810","456777405","312010468015","205762345","800336000","480014400","227506825","0","1.12939","7.51909","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:655:690","94982142473","89290133935","13410020115","0","0","2730004095","2730004095","97770146655","237507125","0","26870040305","15180022770","18450027675","0","15500465","35550053325","47001410","47001410","33501005","17507350","18257665","9253885","7000420","15000450","11500690","293517610","306050459075","89505370","1079453180","302009060","113003390","0","1.10793","7.41397","4","2400","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","78774118161","74420111630","14330021495","0","0","2110003165","2180003270","74940112410","40001200","0","26800040200","18740028110","22000033000","0","19500585","39470059205","124003720","124003720","88502655","29512390","31013020","9253885","10750645","19500585","23001380","675290515","357340536010","123757425","747313740","906527195","1418542555","0","0.808246","6.31466","4","800","","","","0"
