"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","509218763827","487154730731","229680344520","0","0","15050022575","15130022695","512040768060","5078652355","0","321740482610","270760406140","243180364770","0","271008130","100010150015","988029640","988029640","440013200","553732470","536225120","282368545","279266755","277008310","258515510","25464027750","2433653650475","14103346150","41979123830","23259197755","28219346555","1294038820","5.74129","42.1177","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","203450305175","192580288870","89880134820","0","0","5740008610","5730008595","199100298650","202506075","0","117300175950","103280154920","103380155070","0","179505385","89690134535","1507545225","1507545225","1152534575","366153720","361151620","162068040","165009900","173505205","180510830","6512140705","981421472130","2110626630","7927077975","15544966335","4397631925","839525185","2.13967","16.6713","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","195912293868","187118280677","102450153675","0","0","5810008715","5770008655","194200291300","711521345","0","128230192345","106460159690","111870167805","0","430012900","54150081225","727521825","727521825","125003750","593999375","603253260","128553970","124507470","470014100","466027960","44801187910","997491496235","7883472980","56502721180","4292128760","46396891865","3808114240","3.48646","16.024","4","6401","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:421:468","106660159990","100464150696","6950010425","0","0","3210004815","3190004785","108870163305","158004740","0","30370045555","8360012540","18250027375","0","10000300","36730055095","96502895","96502895","72502175","23509870","21008820","13005460","11750705","6500195","10250615","156259375","319380479070","90505430","211088620","856025680","98002940","0","1.33876","8.48719","4","2400","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","101078151617","96140144210","40440060660","0","0","3090004635","3100004650","96610144915","143004290","0","55310082965","48960073440","46740070110","0","56001680","51700077550","401512045","401512045","282008460","108295465","111296725","54022680","50753045","53001590","50753045","2096625790","585760878640","716793005","2708136940","8304249120","2631078930","989529685","1.09238","8.32287","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:813:847","96354144531","90766136149","14660021990","0","0","2640003960","2590003885","94230141345","243507305","0","28810043215","17710026565","20150030225","0","16000480","33700050550","117003510","117003510","78002340","46769635","47269845","31763335","27501650","25000750","17751065","317769065","331700497550","840050400","515716510","761022830","319509585","0","1.27","7.69181","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:623:658","92856139284","87272130908","11180016770","0","0","3070004605","3000004500","95190142785","195005850","0","25100037650","12860019290","16580024870","0","10500315","33470050205","55001650","55001650","35001050","18757875","22509450","9003780","9250555","16500495","16000960","448276895","274630411945","70504230","164068880","901527045","424012720","0","1.19181","7.35482","4","2400","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","77478116217","74340111510","48780073170","0","0","2450003675","2500003750","76680115020","4932147960","0","54010081015","48370072555","49740074610","0","42001260","20840031260","193505805","193505805","102003060","91788535","88537170","58274465","55253315","37501125","37752265","2726413575","605170907755","2852421135","4786759595","4001620045","1711551345","95002850","1.02686","6.44694","4","800","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","76098114147","71946107919","22240033360","0","0","2050003075","2050003075","78020117030","612018360","0","41880062820","32300048450","25710038565","0","57001710","32150048225","240507215","240507215","150004500","85285805","85535910","27011340","25751545","39001170","52253135","8367001990","323420485130","2894423655","10411120835","3420102600","8337250110","362010860","0.861672","6.13307","4","800","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","73930110895","69800104700","9300013950","0","0","2210003315","2200003300","73910110865","33501005","0","21260031890","11640017460","16500024750","0","13500405","40210060315","111003330","111003330","80502415","19508190","21509030","11754935","10500630","13500405","11250675","464777885","363830545745","276516590","1237519540","601518045","292008760","86502595","0.895871","5.96873","4","800","","","","0"
