OpenMP Region / Function / Call Stack,CPU_CLK_UNHALTED.THREAD_ANY,CPU_CLK_UNHALTED.REF_TSC,CYCLE_ACTIVITY.STALLS_L1D_PENDING,CPU_CLK_THREAD_UNHALTED.REF_XCLK,CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY,CPU_CLK_UNHALTED.THREAD_P_ANY,LOAD_HIT_PRE.HW_PF,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,CYCLE_ACTIVITY.STALLS_LDM_PENDING,LOAD_HIT_PRE.SW_PF,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,OpenMP Potential Gain,Elapsed Time,Number of OpenMP threads,Instance Count,Module,Function (Full),Source File,Start Address
:4@unknown:269:288,5488008232,5208007812,800001200,180000270,180000270,5680008520,40001200,2470003705,830001245,1220001830,0,5000150,1940002910,14000420,14000420,3000090,3001260,5000300,4000120,2500150,410512315,21000630,0.312786,0.431087,4,1200,,,,0
:4@unknown:239:260,5554008331,5314007971,630000945,180000270,130000195,5460008190,57001710,2640003960,830001245,1420002130,0,5500165,1700002550,6000180,6000180,500015,5502310,4500270,5000150,3750225,91002730,0,0.307155,0.423158,4,1200,,,,0
:4@unknown:206:230,6296009444,6038009057,1080001620,190000285,160000240,6410009615,53501605,2860004290,1170001755,1770002655,0,3500105,2320003480,17500525,17500525,2000060,8003360,7750465,7000210,7000420,321009630,17500525,0.355481,0.489141,4,1200,,,,0
:4@unknown:170:196,6628009942,6386009579,1090001635,190000285,180000270,6540009810,44501335,3340005010,1310001965,1880002820,0,5500165,2520003780,21500645,21500645,3000090,8003360,8000480,4500135,6000360,637519125,106503195,0.37442,0.516052,4,1200,,,,0
:4@unknown:137:161,7730011595,7396011094,1350002025,190000285,200000300,7840011760,51001530,3600005400,1580002370,2190003285,0,8500255,2730004095,32500975,32500975,3500105,8253465,13000780,6500195,11500690,671020130,0,0.434162,0.597108,4,1200,,,,0
:4@unknown:106:127,7992011988,7556011334,1520002280,360000540,340000510,8050012075,51001530,3970005955,1530002295,2680004020,0,8500255,2810004215,27500825,27500825,12000360,14756195,11250675,9500285,9500570,1382041460,107503225,0.448328,0.618124,4,1200,,,,0
:4@unknown:779:795,12826019239,11980017970,2250003375,440000660,400000600,12430018645,1500045,5590008385,2270003405,3840005760,0,38001140,4500006750,297508925,297508925,109503285,153814575,164259855,44001320,38252295,8202746075,4410632315,0.723028,0.969211,4,2400,,,,0
:4@unknown:620:636,13694020541,12856019284,2200003300,410000615,450000675,13880020820,3000090,5950008925,2120003180,3900005850,0,39501185,4870007305,319009570,319009570,114003420,167820455,163259795,39501185,37752265,3988619655,6302689075,0.774757,1.03823,4,2400,,,,0
:4@unknown:457:473,13240019860,12500018750,2360003540,330000495,300000450,13160019740,2000060,6290009435,2270003405,3870005805,0,37001110,4150006225,313509405,313509405,108503255,178825075,162509750,38001140,36752205,6237187110,4902647075,0.75737,1.01373,4,2400,,,,0
:4@unknown:650:662,15184022776,14420021630,9290013935,430000645,390000585,15950023925,1269038070,9490014235,8440012660,8970013455,0,2500075,6100009150,29500885,29500885,17500525,4501890,5750345,2000060,3750225,21000630,0,0.117914,1.1987,4,800,,,,0
:4@unknown:312:324,14736022104,14012021018,8350012525,500000750,450000675,14110021165,989529685,9920014880,9030013545,9410014115,0,5500165,5620008430,24000720,24000720,19000570,3751575,7750465,3500105,3000180,44001320,0,0.108415,1.16522,4,800,,,,0
:4@unknown:491:503,15174022761,14384021576,8730013095,500000750,550000825,14900022350,1234037020,9930014895,8830013245,9270013905,0,4000120,5870008805,25500765,25500765,19000570,7253045,5000300,5000150,2750165,211006330,0,0.118674,1.19776,4,800,,,,0
:4@unknown:674:689,21328031992,20454030681,11000016500,670001005,680001020,22320033480,565516965,11330016995,10350015525,10560015840,0,3000090,13220019830,24500735,24500735,13500405,8503570,6750405,4500135,4750285,222506675,0,0.168586,1.70238,4,800,,,,0
:4@unknown:515:530,21136031704,20396030594,10350015525,660000990,610000915,21050031575,535016050,11640017460,10760016140,11320016980,0,3000090,12850019275,28000840,28000840,16500495,8503570,6500390,5500165,4250255,356010680,0,0.165039,1.69096,4,800,,,,0
:4@unknown:337:353,21152031728,20328030492,9670014505,600000900,630000945,20020030030,499014970,12300018450,10970016455,11390017085,0,3000090,12450018675,29000870,29000870,10000300,7503150,7250435,3000090,3750225,25500765,0,0.182804,1.68753,4,800,,,,0
:4@unknown:701:710,19022028533,18376027564,15290022935,560000840,650000975,20280030420,910027300,13930020895,13510020265,13530020295,0,55001650,1690002535,177505325,177505325,50001500,64777195,64003840,56501695,59003540,16763502890,3359600785,0.165748,1.54569,4,800,,,,0
:4@unknown:542:550,18684028026,17892026838,14160021240,590000885,600000900,18320027480,654519635,15120022680,14470021705,14290021435,0,61001830,2120003180,112503375,112503375,23000690,38766275,36502190,60001800,58503510,10802324060,1337540125,0.146333,1.50189,4,800,,,,0
