OpenMP Region / Function / Call Stack,CPU_CLK_UNHALTED.THREAD_ANY,CPU_CLK_UNHALTED.REF_TSC,CYCLE_ACTIVITY.STALLS_L1D_PENDING,CPU_CLK_THREAD_UNHALTED.REF_XCLK,CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY,CPU_CLK_UNHALTED.THREAD_P_ANY,LOAD_HIT_PRE.HW_PF,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,CYCLE_ACTIVITY.STALLS_LDM_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,Elapsed Time
:4@unknown:100:110,47508071262,45758068637,32680049020,1470002205,1540002310,45520068280,2173065190,38010057015,34940052410,34760052140,39501185,54022680,53753225,44501335,41502490,5040651215,4.9391
:4@unknown:120:130,47992071988,46178069267,34530051795,1470002205,1510002265,48230072345,2345070350,38870058305,35530053295,35730053595,43501305,51021420,50003000,40001200,38002280,5093652805,4.93378
:4@unknown:139:148,42000063000,40454060681,28550042825,1210001815,1200001800,40930061395,1814054420,33700050550,30220045330,30110045165,32000960,44018480,43002580,30500915,30001800,3557106710,4.35902
:4@unknown:158:167,41076061614,39502059253,27160040740,1160001740,1120001680,39970059955,2173565205,33710050565,29380044070,29100043650,25000750,18007560,18501110,24000720,29251755,2639079170,4.27707
:4@unknown:176:185,35020052530,33666050499,20490030735,1010001515,970001455,34850052275,1620548615,28350042525,22330033495,21860032790,15000450,15506510,14250855,22500675,20501230,3568107040,3.62746
:4@unknown:194:203,35230052845,33824050736,22470033705,1100001650,1000001500,34620051930,1248537455,29070043605,24390036585,23490035235,26000780,39516590,37752265,32000960,31501890,9129773885,3.63406
:4@unknown:227:239,12408018612,11788017682,6800010200,290000435,290000435,12190018285,816524495,8200012300,6920010380,7550011325,2500075,2751155,5750345,2500075,3000180,315509465,1.26927
:4@unknown:252:268,17948026922,17204025806,8260012390,570000855,600000900,17660026490,426512795,9970014955,8910013365,9080013620,5000150,4501890,7250435,6000180,2500150,75002250,1.83132
:4@unknown:282:291,14944022416,14278021417,10660015990,390000585,340000510,14240021360,1569547085,11880017820,10940016410,11570017355,13500405,13005460,13750825,13000390,14000840,945028350,1.52804
:4@unknown:307:354,82122123183,77886116829,5070007605,2340003510,2310003465,81550122325,151504545,22130033195,5600008400,13540020310,11000330,5252205,7500450,5500165,6250375,353510605,8.21179
:4@unknown:372:386,36424054636,34268051402,1510002265,1040001560,1050001575,36250054375,2500075,14560021840,1690002535,6300009450,23000690,137307645,135258115,22000660,19251155,419012570,3.54302
:4@unknown:404:416,12262018393,11822017733,6790010185,370000555,360000540,12470018705,988529655,7850011775,6780010170,7250010875,5500165,4001680,6000360,1500045,2750165,144004320,1.26367
:4@unknown:428:443,17698026547,16926025389,8370012555,590000885,560000840,18130027195,414012420,9880014820,8680013020,8990013485,1500045,3251365,6500390,5000150,2500150,57501725,1.80321
:4@unknown:455:463,14964022446,14442021663,11200016800,450000675,450000675,14760022140,517015510,11760017640,11070016605,11300016950,43501305,25510710,23751425,45501365,43252595,1873056190,1.52737
:4@unknown:478:513,71802107703,67760101640,7720011580,2270003405,2250003375,70820106230,165504965,18450027675,9240013860,11950017925,12500375,7253045,8750525,10000300,7750465,221506645,7.17372
:4@unknown:533:547,39108058662,36836055254,1540002310,970001455,950001425,37800056700,5000150,15910023865,1660002490,7100010650,24500735,124802395,142008520,20500615,21251275,1578547355,3.81038
:4@unknown:561:573,12010018015,11454017181,6520009780,210000315,210000315,11760017640,953028590,8050012075,6850010275,7420011130,3500105,4001680,5000300,2000060,1500090,426512795,1.2203
:4@unknown:585:600,17014025521,16316024474,8360012540,500000750,520000780,16290024435,412012360,9590014385,8740013110,8810013215,2500075,6252625,5250315,2000060,4500270,55001650,1.73277
:4@unknown:612:621,14876022314,14304021456,11120016680,490000735,490000735,14730022095,658019740,12270018405,11520017280,11690017535,47501425,50271105,55503330,41501245,44252655,2626078780,1.51948
:4@unknown:636:670,73636110454,69974104961,10240015360,2230003345,2220003330,73950110925,188005640,21160031740,12160018240,14730022095,14500435,19758295,21751305,11500345,13250795,434013020,7.39898
:4@unknown:690:704,36928055392,34826052239,1510002265,1100001650,1160001740,37260055890,4000120,14980022470,1590002385,6600009900,21000630,132805755,127007620,19500585,17501050,29500885,3.59302
