"OpenMP Region / Function / Call Stack","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_HIT.ANY_RESPONSE","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.ANY_DRAM","CPU_CLK_THREAD_UNHALTED.REF_XCLK","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","CPU_CLK_UNHALTED.THREAD_P_ANY","LOAD_HIT_PRE.HW_PF","OFFCORE_RESPONSE:request=PF_L3_DATA_RD:response=L3_MISS.LOCAL_DRAM","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","LOAD_HIT_PRE.SW_PF","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","OpenMP Potential Gain","Elapsed Time","Number of OpenMP threads","Instance Count","Module","Function (Full)","Source File","Start Address"
"advec_cell_kernel_module_mp_advec_cell_kernel_$omp$parallel:4@unknown:93:381","506176759264","484938727407","251640377460","0","0","15470023205","15370023055","508250762375","5230156900","0","335150502725","295530443295","263940395910","0","326509795","90450135675","980029400","980029400","417512525","565987615","563986775","228846075","236264175","314509435","315768945","29418264990","2734664101990","19426665530","46215402320","26302789060","31646949380","1694050820","3.78355","40.5772","4","2400","","","","0"
"pdv_kernel_module_mp_pdv_kernel_$omp$parallel:4@unknown:70:170","196646294969","186532279798","94220141330","0","0","6000009000","5920008880","197540296310","218006540","0","116710175065","105910158865","104100156150","0","183005490","84100126150","1497544925","1497544925","1154534635","352397945","351147420","172822555","170510230","169505085","183260995","7218683095","984501476750","3260445615","7202023580","14209926285","7148714455","463013890","1.39125","15.5713","4","1600","","","","0"
"update_halo_kernel_module_mp_update_halo_kernel_$omp$parallel:4@unknown:109:1425","191766287649","183608275412","111670167505","0","0","5540008310","5480008220","191170286755","785523565","0","131110196665","115130172695","118990178485","0","534516035","48810073215","716521495","716521495","125003750","599751790","607505045","75031500","79754785","549516485","520281215","51568843945","1002001503000","7573204365","62682815730","8934268020","59104273075","1178035340","2.22103","15.1651","4","6401","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:404:451","104856157284","98820148230","8670013005","0","0","3020004530","3070004605","104840157260","144504335","0","31140046710","11310016965","20110030165","0","16500495","34870052305","96002880","96002880","74002220","23259765","27011340","9754095","8750525","11000330","12500750","99255955","303320454980","136508190","476700130","898026940","118003540","4500135","1.009","8.15015","4","2400","","","","0"
"accelerate_kernel_module_mp_accelerate_kernel_$omp$parallel:4@unknown:58:113","103224154836","98688148032","47720071580","0","0","2960004440","3030004545","102460153690","140504215","0","60390090585","55530083295","53120079680","0","70502115","46250069375","400012000","400012000","288008640","125802815","128804075","46269425","47252835","73502205","74004440","2714662870","623010934515","811548690","4134735860","3650609515","1720051600","472514175","0.712099","8.26009","4","800","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:763:797","90032135048","85016127524","15390023085","0","0","2530003795","2580003870","89470134205","237507125","0","25710038565","17060025590","18530027795","0","20500615","31550047325","128503855","128503855","79502385","51771735","53272365","28011760","27751665","21500645","24501470","748544910","322500483750","288767325","808339360","581517445","574017220","0","0.798259","6.97043","4","2400","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:591:626","89766134649","84460126690","12310018465","0","0","2700004050","2650003975","89430134145","208506255","0","24570036855","14790022185","17170025755","0","23000690","32880049320","55001650","55001650","36001080","26010920","30262705","6502730","6250375","18500555","24001440","568534110","247240370860","38502310","372406345","805024150","510015300","3500105","0.845106","6.95854","4","2400","","","","0"
"viscosity_kernel_module_mp_viscosity_kernel_$omp$parallel:4@unknown:64:137","74738112107","70560105840","11630017445","0","0","2230003345","2160003240","76390114585","33501005","0","21440032160","13140019710","17350026025","0","27000810","38910058365","119003570","119003570","87502625","31763335","30512810","12505250","8500510","22500675","21501290","1232073920","349980524970","103756225","1068448560","853525605","653019590","39501185","0.779533","5.91809","4","800","","","","0"
"calc_dt_kernel_module_mp_calc_dt_kernel_$omp$parallel:4@unknown:99:151","73998110997","69654104481","22630033945","0","0","2210003315","2230003345","75080112620","606518195","0","40600060900","32540048810","24990037485","0","55501665","31830047745","251007530","251007530","168005040","85786015","88537170","30262705","29751785","60001800","62503750","8606766375","284430426645","1456087360","10278815290","3426102780","7065711965","2115063450","0.61266","5.77504","4","800","","","","0"
"flux_calc_kernel_module_mp_flux_calc_kernel_$omp$parallel:4@unknown:55:93","70566105849","67884101826","47860071790","0","0","2150003225","2100003150","71090106635","4935148050","0","52160078240","48560072840","49440074160","0","36001080","17910026865","186505595","186505595","96502895","94039480","93039060","59524990","49752985","42001260","37502250","2849670970","607120910680","1922865365","4410601675","3413102390","3085592565","95002850","0.516454","5.64949","4","800","","","","0"
"reset_field_kernel_module_mp_reset_field_kernel_$omp$parallel:4@unknown:49:99","65362098043","63752095628","48240072360","0","0","1960002940","1970002955","65600098400","153004590","0","58620087930","49170073755","52820079230","0","220506615","3340005010","387011610","387011610","55001650","337641750","341393325","98791475","107756465","215006450","226513590","115815198495","293350440025","47394593505","174523519105","23089692670","114265427860","4642639275","0.524603","5.32259","4","800","","","","0"
"ideal_gas_kernel_module_mp_ideal_gas_kernel_$omp$parallel:4@unknown:45:60","58382087573","55238082857","30190045285","0","0","1750002625","1820002730","59380089070","918527555","0","42590063885","33330049995","32340048510","0","16000480","4880007320","40501215","40501215","11000330","33514070","28762075","9754095","8250495","18500555","20501230","2537652250","232090348135","874802485","3850866685","1327539825","2442073260","0","0.565158","4.68697","4","1683","","","","0"
"advec_mom_kernel_mod_mp_advec_mom_kernel_$omp$parallel:4@unknown:337:353","26862040293","26000039000","15000022500","0","0","810001215","790001185","26040039060","689520685","0","16570024855","15790023685","15920023880","0","7000210","12780019170","31000930","31000930","8500255","15256405","15756615","5752415","6500390","9500285","9750585","251015060","226370339555","188761325","1270533400","96502895","202506075","0","0.203434","2.15622","4","800","","","","0"
"revert_kernel_module_mp_revert_kernel_$omp$parallel:4@unknown:41:63","26648039972","25672038508","19020028530","0","0","750001125","690001035","26270039405","60501815","0","23070034605","19130028695","20940031410","0","94002820","1870002805","157504725","157504725","21000630","132555650","129054180","43018060","43252595","97502925","96255775","54027741470","118450177675","21809808510","63523668740","5808174240","44373831175","1384541535","0.28279","2.1838","4","800","","","","0"
